company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type
CC&PM LIMITED,16207763,active,2025-01-24,RM6 5LS,"81210, 81299",ltd
DEYAAR LTD,16207997,active,2025-01-25,RM7 8JB,56102,ltd
BRUNOFAB VENTURES LIMITED,16205577,active,2025-01-24,RM6 6AX,47910,ltd
MEDI FLAME LTD,16206892,active,2025-01-24,RM6 6UT,38210,ltd
WISDON CONSULTANCY LTD,16208218,active,2025-01-25,RM6 4FA,62020,ltd
XULA LTD,16210905,active,2025-01-27,RM6 6AX,47910,ltd
GLAM & BARGAIN LTD,16206781,active,2025-01-24,RM7 0YW,47910,ltd
OLD MONEY ACADEMY LTD,16206339,active,2025-01-24,RM6 6AX,85590,ltd
PIZZA FUSION LTD,16207371,active,2025-01-24,RM1 1PS,"46160, 56103",ltd
DOM & CO GROUP LIMITED,16211175,active,2025-01-27,RM6 5QJ,64209,ltd
LAYYZA LOGISTICS LTD,16208143,active,2025-01-25,RM5 3JB,53202,ltd
HTS ENTERPRISES LONDON LTD,16208702,active,2025-01-26,RM6 5AS,45112,ltd
ZARSI TRAINING LTD,16212114,active,2025-01-27,RM6 4BT,85530,ltd
CARGO PRO LOGISTICS LTD,16214652,active,2025-01-28,RM5 3QA,49410,ltd
RR ROCKS LIMITED,16214840,active,2025-01-28,RM7 0SR,23700,ltd
LI JORDAN ROSE LTD,16214919,active,2025-01-28,RM5 2EJ,61100,ltd
FORYST LIMITED,16208697,active,2025-01-26,RM6 6AX,63990,ltd
BEAUTYLESS LTD,16220473,active,2025-01-31,RM1 2BX,47190,ltd
MECHANICAL ENE LTD,16215453,active,2025-01-29,RM6 5RT,42990,ltd
STUDY PLAN ASSOCIATES LTD,16215795,active,2025-01-29,RM7 0BD,85600,ltd
ROMFORD GRILL HOUSE LIMITED,16218855,active,2025-01-30,RM5 2DH,56102,ltd
IFRIM DRYLINING LTD,16220897,active,2025-01-31,RM3 8LH,41201,ltd
MACI PROPERTY SERVICES LTD,16221855,active,2025-01-31,RM6 6YB,41202,ltd
PREMIER AUTO GROUP LTD,16224521,active,2025-02-03,RM7 0GW,"45200, 77110, 96090",ltd
A & N GLOBAL LIMITED,16226141,active,2025-02-03,RM7 9EU,47910,ltd
GETGUT LIMITED,16222488,active,2025-01-31,RM6 4FP,"10320, 46341, 47890, 47910",ltd
INDIGO SOLUTIONS GROUP LIMITED,16224629,active,2025-02-03,RM7 9EU,78109,ltd
SOLA TECH LTD,16225901,active,2025-02-03,RM2 6BU,43210,ltd
CRS FASHION LIMITED,16240281,active,2025-02-10,RM6 6NJ,"32120, 47820",ltd
S P ARCHITECTURE (SPA) LTD,16228543,active,2025-02-04,RM2 5AA,71111,ltd
ALL SEASONS CLOTHING LTD,16229927,active,2025-02-04,RM3 0YS,47910,ltd
RAIN HOMES LTD,16228510,active,2025-02-04,RM3 7GN,"68100, 68201, 68209, 68320",ltd
BEST DOMESTIC APPLIANCES LTD,16229959,active,2025-02-05,RM6 4SL,95220,ltd
TRIVENI DWELLINGS LIMITED,16228968,active,2025-02-04,RM2 5LP,"68100, 68209",ltd
RIHA VENTURES LIMITED,16230273,active,2025-02-05,RM2 5QH,"68100, 68209, 68320",ltd
THE JABRI LTD,16230590,active,2025-02-05,RM6 6XH,47990,ltd
WICM LTD,16231682,active,2025-02-05,RM3 0JF,70229,ltd
CHIZMOSO PROPERTIES LTD,16232148,active,2025-02-05,RM3 8RR,68100,ltd
ELITE PLUMBING10 LTD,16242772,active,2025-02-10,RM2 5UD,43999,ltd
WASTEREMOVAL GUYS LTD,16242976,active,2025-02-11,RM1 4JB,"38110, 38210, 39000, 49420",ltd
PM EDPSYCH LTD,16243029,active,2025-02-11,RM1 1DF,70229,ltd
C&W PROJECTS LIMITED,16243379,active,2025-02-11,RM3 8EN,"43290, 43999",ltd
ABLE EMERGENCY 24/7 LIMITED,16230597,active,2025-02-05,RM1 3JT,43220,ltd
ISMAIL CAF LTD,16243526,active,2025-02-11,RM3 8RH,56102,ltd
SIMON CANTLON SERVICES LIMITED,16243676,active,2025-02-11,RM3 8PW,62020,ltd
IC SMILES LTD,16243967,active,2025-02-11,RM7 0EP,86230,ltd
NOVACORP DIGITAL LIMITED,16244089,active,2025-02-11,RM6 6AX,47990,ltd
NOVADIO LTD,16244262,active,2025-02-11,RM5 3UH,96090,ltd
KAREERA LTD,16175887,active,2025-01-10,RM1 3JT,78109,ltd
THE MUSCLE MINDSET LIMITED,16177408,active,2025-01-11,RM7 0RU,46499,ltd
SYR BARBERS LIMITED,16174360,active,2025-01-09,RM7 0JU,96020,ltd
J J KITCHEN LTD,16174377,active,2025-01-09,RM1 3FB,56103,ltd
FOR CREATORS BY CREATORS LTD,16175935,active,2025-01-10,RM3 0AQ,78300,ltd
KEY2ESTATE PROPERTIES LTD,16176258,active,2025-01-10,RM1 3PJ,"68100, 68310, 68320",ltd
A GOODACRE LTD,16175852,active,2025-01-10,RM3 0LU,69201,ltd
CONSTRUCTION HOUSE LTD,16175999,active,2025-01-10,RM5 3AL,41202,ltd
VP CONSTRUCTION GROUP LTD,16165204,active,2025-01-06,RM1 2QZ,"43310, 43341, 43390",ltd
HS FOOD SERVICE (UK) LIMITED,16168600,active,2025-01-07,RM6 6SS,47290,ltd
CLEIMAN RECORDS LTD,16172009,active,2025-01-08,RM1 4SS,59200,ltd
STAR TRUCK LTD,16172373,active,2025-01-09,RM6 6SR,"49320, 49390, 49410, 78109",ltd
S&W HAIR SALON LTD,16172435,active,2025-01-09,RM3 7QT,96020,ltd
PAKWHEELSLONDON LIMITED,16172566,active,2025-01-09,RM5 2DP,45112,ltd
RICHIE SCHEME CIC,16165502,active,2025-01-06,RM6 6PP,"85590, 96090",private-limited-guarant-nsc
NEXT CHAPTER CONSTRUCTION LTD,16165977,active,2025-01-06,RM7 9LT,41202,ltd
TPL-LANDSCAPES LTD,16167779,active,2025-01-07,RM5 2HL,71112,ltd
SCANDIWAVE DIGITAL LIMITED,16172865,active,2025-01-09,RM6 6AX,"62020, 70229",ltd
ECOMIX SOLUTIONS LTD,16164998,active,2025-01-06,RM6 6AX,58190,ltd
THE DREAM MAKERS EVENTS LTD,16167643,active,2025-01-07,RM7 9LT,"56210, 90030, 93290",ltd
VICTORIANODCDEX4 LIMITED,16169717,active,2025-01-08,RM6 6AX,"62012, 62020, 62090",ltd
LYN BEAUTY LTD,16178222,active,2025-01-13,RM1 1SY,96020,ltd
ALUCORP LTD,16181336,active,2025-01-13,RM6 6AX,46720,ltd
FLOWSTATETECH WHOLESALE LTD,16180395,active,2025-01-13,RM1 1BY,46900,ltd
GLOBAL HOME INVEST LTD,16180733,active,2025-01-13,RM7 0EU,"68100, 68209",ltd
ZOA ESTATES LTD,16178538,active,2025-01-13,RM1 3NG,"68100, 68209, 68310, 68320",ltd
HAC PLUMBING&HEATING LTD,16180698,active,2025-01-13,RM5 3DB,"43220, 46740",ltd
AGVF PROPERTIES LIMITED,16181308,active,2025-01-13,RM3 8AA,68209,ltd
VENTURA LEARNINGS LTD,16181835,active,2025-01-14,RM1 4LJ,85320,ltd
MIHAELA EDUCATION SERVICES LIMITED,16181927,active,2025-01-14,RM1 2LX,85600,ltd
TRIMHOUSE LIMITED,16182052,active,2025-01-14,RM6 5EH,"46160, 46190, 46410",ltd
ESSEX CLEANCO LTD,16182694,active,2025-01-14,RM3 7NX,"81210, 81299",ltd
NEWERA CODE GENESIS LIMITED,16181886,active,2025-01-14,RM6 6AX,"62012, 62090, 63110",ltd
PROPERFIX LONDON LTD,16181944,active,2025-01-14,RM2 6PR,43341,ltd
YPRYSTAVKA LTD,16182623,active,2025-01-14,RM2 5XA,43999,ltd
AHMED KRD LTD,16182681,active,2025-01-14,RM6 6AX,47910,ltd
ANDREI'S FINISHES LTD,16183507,active,2025-01-14,RM1 1DA,43999,ltd
LIMITLESS PROPERTY MANAGEMENT LTD,16183782,active,2025-01-14,RM7 9QA,98000,ltd
VANITY TRANSPORT LTD,16171195,active,2025-01-08,RM2 6DB,52103,ltd
IBRAHIMLLARI LTD,16171860,active,2025-01-08,RM2 5LJ,"41201, 41202, 68100, 68209",ltd
MARWAN KRD LTD,16170326,active,2025-01-08,RM6 6AX,47910,ltd
KARIM PROPERTY SOLUTIONS LTD,16160870,active,2025-01-03,RM1 4PB,"43210, 43220",ltd
JAMALI MED LTD,16163454,active,2025-01-05,RM7 0FG,86210,ltd
OMER KRD LTD,16163993,active,2025-01-06,RM6 6AX,47910,ltd
EL SAEED LIMITED,16163282,active,2025-01-04,RM3 0HJ,56210,ltd
INFOSKILLS LTD,16159812,active,2025-01-02,RM3 0WU,62090,ltd
ELHACO ASSET MANAGEMENT LTD,16164246,active,2025-01-06,RM1 3GL,68320,ltd
ARON BUILDING SERVICES LTD,16163728,active,2025-01-05,RM7 7JD,"41202, 43390",ltd
FH CONSULTANCY LTD,16160852,active,2025-01-03,RM7 0LU,"45112, 62020, 68310, 70229",ltd
WORLD TRANS TRAVEL LTD,16162617,active,2025-01-03,RM6 6HH,"49410, 52290",ltd
EV CLEANERS LTD,16164185,active,2025-01-06,RM6 4FW,81299,ltd
THE SUNSETS VIEW LIMITED,16163035,active,2025-01-03,RM3 9NH,"55209, 98000",ltd
DILSHADMM LTD,16164478,active,2025-01-06,RM6 6AX,47910,ltd
AWARD INTERIORS CONSTRUCTION LIMITED,16254309,active,2025-02-15,RM1 4NL,43290,ltd
VIZ CONSTRUCTION LTD,16254316,active,2025-02-15,RM3 8AW,41202,ltd
O & E PROPERTY SERVICES LTD,16251629,active,2025-02-13,RM7 9QD,68100,ltd
TNK REAL ESTATES LTD,16254723,active,2025-02-16,RM5 2EA,"68209, 68310, 68320",ltd
OPULORIA LTD,16256544,active,2025-02-17,RM6 6AX,46480,ltd
OPTILISTICS LIMITED,16259805,active,2025-02-18,RM6 6BL,"62020, 62090",ltd
CLIFFORD'S CONSULTANTS LTD,16244743,active,2025-02-11,RM3 8RY,70229,ltd
RENOVATE BUILDINGS LTD,16244688,active,2025-02-11,RM6 4BF,"43290, 43999, 78200",ltd
SPIDER ROOFING SOLUTIONS LIMITED,16245226,active,2025-02-11,RM6 4QH,"41201, 41202, 43910",ltd
UK ALPHA LABS LTD,16244974,active,2025-02-11,RM3 9YB,"46190, 47910, 86900",ltd
