company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type,next_due
FONE TECH SOLUTIONS LIMITED,07394408,active,2010-10-01,IG1 3BG,47890,ltd,2019-08-31
SOUTHEND GUEST HOUSE LTD,09247064,active,2014-10-02,IG1 1BA,55100,ltd,2025-07-31
SAFS WORLD OF BEAUTY LIMITED,12002229,active,2019-05-17,IG1 3NG,96020,ltd,2023-02-28
TIMES SQUARE LONDON LTD,12145576,active,2019-08-08,IG1 3SB,47770,ltd,2022-05-30
S&T DEVELOPMENTS LIMITED,13573416,active,2021-08-18,IG7 6QX,98000,ltd,2025-08-31
RPG GLOBAL LIMITED,10903267,active,2017-08-07,IG7 5LT,"47910, 74909",ltd,2025-08-31
SECRET ESSENCE CAKE BOUTIQUE LIMITED,12171127,active,2019-08-23,IG7 6LA,56290,ltd,2025-05-25
TUITION WORLD LIMITED,07349031,active,2010-08-18,IG7 4JG,85590,ltd,2025-08-30
CHOP & ROLL LTD,11375766,active,2018-05-22,IG7 6PB,56103,ltd,2025-07-31
APAC SOLUTIONS LTD.,12920367,active,2020-10-01,IG8 7AB,"20530, 46341",ltd,2025-07-31
CGL CONTRACTOR LTD,14290486,active,2022-08-11,IG8 0EG,41202,ltd,2025-05-31
TWELFTH GATE PROPERTIES LTD,11084384,active,2017-11-27,IG8 8EY,"68100, 68209",ltd,2025-08-31
ADVENTURES DAY NURSERY LTD,08430209,active,2013-03-05,IG8 8EY,85100,ltd,2025-07-31
UPMINSTER PROPERTY LTD,11135300,active,2018-01-05,IG8 8HD,68310,ltd,2025-08-30
PARKSIDE VIEW PROPERTIES LTD,12239984,active,2019-10-02,IG8 8EY,82990,ltd,2025-07-31
LUMI ENTERTAINMENT LIMITED,06874281,active,2009-04-08,IG8 8EY,82990,ltd,2025-01-31
ALPHA UOM LTD,11531719,active,2018-08-22,IG8 8HD,68209,ltd,2025-05-31
KHAN'S BARGAIN LTD,04729121,active,2003-04-10,IG8 9NG,47190,ltd,2025-08-15
TNFT PROP 174 LTD,15076844,active,2023-08-16,IG6 2AJ,68209,ltd,2025-05-16
TNFT PROP 173 LTD,15076829,active,2023-08-16,IG6 2AJ,68209,ltd,2025-05-16
SPIRIT MENSWEAR (CLOTHING) LTD,14492433,active,2022-11-18,IG6 2DJ,47710,ltd,2025-08-31
THE WELLNESS MOVEMENT LIMITED,11073026,active,2017-11-20,IG6 1FU,"86900, 93199",ltd,2025-08-31
TNFT PROP 187 LTD,15084476,active,2023-08-21,IG6 2AJ,68209,ltd,2025-05-21
TNFT PROP 126 LTD,15021567,active,2023-07-24,IG6 2AJ,68209,ltd,2025-07-24
TNFT PROP 186 LTD,15084456,active,2023-08-21,IG6 2AJ,68209,ltd,2025-05-21
TNFT PROP 175 LTD,15078123,active,2023-08-17,IG6 2AJ,68209,ltd,2025-05-17
TNFT PROP 179 LTD,15093809,active,2023-08-24,IG6 2AJ,68209,ltd,2025-05-24
TNFT PROP 181 LTD,15079640,active,2023-08-17,IG6 2AJ,68209,ltd,2025-05-17
TNFT PROP 178 LTD,15079003,active,2023-08-17,IG6 2AJ,68209,ltd,2025-05-17
TNFT PROP 199 LTD,15205985,active,2023-10-12,IG6 2AJ,68209,ltd,2025-07-12
ELLESS PROMOTION LIMITED,09265591,active,2014-10-15,IG6 2AD,78200,ltd,2025-07-31
PANDR LIMITED,08819698,active,2013-12-18,IG6 2AD,82990,ltd,2025-08-31
SRI PROPERTY INVESTMENT LIMITED,12324481,active,2019-11-20,IG6 1PH,"68100, 68209",ltd,2025-08-31
SIMP BUSINESS LIMITED,10836674,active,2017-06-27,IG6 1AF,82990,ltd,2025-06-30
HIGHER EDUCATION ACADEMY LONDON LIMITED,06742847,active,2008-11-06,IG6 1AE,85600,ltd,2025-08-31
RB SOUVENIRS LTD,14465954,active,2022-11-07,IG6 2DJ,47890,ltd,2025-08-31
AGMT ENTERPRISES LIMITED,11033079,active,2017-10-26,IG6 2FQ,"56103, 70229, 74909",ltd,2025-07-31
THANALAKSHME JEWELLERY LIMITED,07083551,active,2009-11-23,IG6 2DJ,47770,ltd,2025-08-31
HI-JUICE LIMITED,03863526,active,1999-10-22,IG6 2AD,"70229, 71129, 82110, 82990",ltd,2025-07-31
AESTHETIC COMPANY LIMITED,03861282,active,1999-10-19,IG6 1FY,69202,ltd,2025-07-31
CITISPACE LTD,12275811,active,2019-10-22,IG6 2AJ,82990,ltd,2025-07-31
GRV FOODS LTD,13054343,active,2020-12-01,IG6 2AD,56101,ltd,2025-08-31
KEN BEAUTY LTD,12310165,active,2019-11-12,IG6 2AD,96020,ltd,2025-08-31
JLCB CONSULTING LIMITED,15184250,active,2023-10-03,IG6 2AD,70229,ltd,2025-06-30
6 OAK ROAD (STOKE FERRY) LIMITED,09819302,active,2015-10-12,IG6 3JP,68209,ltd,2025-07-31
CC MARKETPLACE LTD,14269089,active,2022-08-02,IG6 3SZ,47910,ltd,2025-05-31
AUTOTWEAKS LTD,07803093,active,2011-10-10,IG6 3HZ,62090,ltd,2025-07-31
