company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type,next_due
FONE TECH SOLUTIONS LIMITED,07394408,active,2010-10-01,IG1 3BG,47890,ltd,2019-08-31
SAFS WORLD OF BEAUTY LIMITED,12002229,active,2019-05-17,IG1 3NG,96020,ltd,2023-02-28
TIMES SQUARE LONDON LTD,12145576,active,2019-08-08,IG1 3SB,47770,ltd,2022-05-30
SECRET ESSENCE CAKE BOUTIQUE LIMITED,12171127,active,2019-08-23,IG7 6LA,56290,ltd,2025-05-25
CGL CONTRACTOR LTD,14290486,active,2022-08-11,IG8 0EG,41202,ltd,2025-05-31
LUMI ENTERTAINMENT LIMITED,06874281,active,2009-04-08,IG8 8EY,82990,ltd,2025-01-31
ALPHA UOM LTD,11531719,active,2018-08-22,IG8 8HD,68209,ltd,2025-05-31
TNFT PROP 174 LTD,15076844,active,2023-08-16,IG6 2AJ,68209,ltd,2025-05-16
TNFT PROP 173 LTD,15076829,active,2023-08-16,IG6 2AJ,68209,ltd,2025-05-16
TNFT PROP 187 LTD,15084476,active,2023-08-21,IG6 2AJ,68209,ltd,2025-05-21
TNFT PROP 186 LTD,15084456,active,2023-08-21,IG6 2AJ,68209,ltd,2025-05-21
TNFT PROP 175 LTD,15078123,active,2023-08-17,IG6 2AJ,68209,ltd,2025-05-17
TNFT PROP 179 LTD,15093809,active,2023-08-24,IG6 2AJ,68209,ltd,2025-05-24
TNFT PROP 181 LTD,15079640,active,2023-08-17,IG6 2AJ,68209,ltd,2025-05-17
TNFT PROP 178 LTD,15079003,active,2023-08-17,IG6 2AJ,68209,ltd,2025-05-17
SIMP BUSINESS LIMITED,10836674,active,2017-06-27,IG6 1AF,82990,ltd,2025-06-30
CC MARKETPLACE LTD,14269089,active,2022-08-02,IG6 3SZ,47910,ltd,2025-05-31
MAYFAIR BEAUTY LTD,14140065,active,2022-05-30,IG6 3XH,"47750, 47910",ltd,2025-05-13
MEDIA INNOVATION LTD,10940291,active,2017-08-31,IG6 3TZ,73110,ltd,2025-05-31
KENILWORTH CONSULTING LTD,07256308,active,2010-05-18,IG10 3AG,62020,ltd,2020-06-30
BELSIZE PARK DEVELOPMENTS LIMITED,06657968,active,2008-07-28,IG10 3TS,82990,ltd,2019-12-31
XSURE LABS LTD,12006587,active,2019-05-20,IG10 1SH,"58290, 71121",ltd,2025-05-28
DLV 92 LTD,12851450,active,2020-09-01,IG10 2HE,"52243, 53100, 53201",ltd,2025-06-30
KOBIGAN PROPERTIES LTD,12801045,active,2020-08-10,IG9 5AQ,"68100, 68209",ltd,2025-05-31
ELECTRICAL SAFETY SERVICES (GB) LIMITED,08114713,active,2012-06-21,IG9 5RD,81100,ltd,2021-06-30
GM 2007 LIMITED,06369489,active,2007-09-12,IG9 5QF,99999,ltd,2025-06-30
MYERS QUALITY HOMES LIMITED,12815247,active,2020-08-16,IG9 6BJ,"68100, 68209",ltd,2025-05-31
