company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type,next_due
SECRET ESSENCE CAKE BOUTIQUE LIMITED,12171127,active,2019-08-23,IG7 6LA,56290,ltd,2025-05-25
CHOP & ROLL LTD,11375766,active,2018-05-22,IG7 6PB,56103,ltd,2025-07-31
APAC SOLUTIONS LTD.,12920367,active,2020-10-01,IG8 7AB,"20530, 46341",ltd,2025-07-31
CGL CONTRACTOR LTD,14290486,active,2022-08-11,IG8 0EG,41202,ltd,2025-05-31
ADVENTURES DAY NURSERY LTD,08430209,active,2013-03-05,IG8 8EY,85100,ltd,2025-07-31
PARKSIDE VIEW PROPERTIES LTD,12239984,active,2019-10-02,IG8 8EY,82990,ltd,2025-07-31
LUMI ENTERTAINMENT LIMITED,06874281,active,2009-04-08,IG8 8EY,82990,ltd,2025-01-31
ALPHA UOM LTD,11531719,active,2018-08-22,IG8 8HD,68209,ltd,2025-05-31
TNFT PROP 174 LTD,15076844,active,2023-08-16,IG6 2AJ,68209,ltd,2025-05-16
TNFT PROP 173 LTD,15076829,active,2023-08-16,IG6 2AJ,68209,ltd,2025-05-16
TNFT PROP 187 LTD,15084476,active,2023-08-21,IG6 2AJ,68209,ltd,2025-05-21
TNFT PROP 126 LTD,15021567,active,2023-07-24,IG6 2AJ,68209,ltd,2025-07-24
TNFT PROP 186 LTD,15084456,active,2023-08-21,IG6 2AJ,68209,ltd,2025-05-21
TNFT PROP 175 LTD,15078123,active,2023-08-17,IG6 2AJ,68209,ltd,2025-05-17
TNFT PROP 179 LTD,15093809,active,2023-08-24,IG6 2AJ,68209,ltd,2025-05-24
TNFT PROP 181 LTD,15079640,active,2023-08-17,IG6 2AJ,68209,ltd,2025-05-17
TNFT PROP 178 LTD,15079003,active,2023-08-17,IG6 2AJ,68209,ltd,2025-05-17
TNFT PROP 199 LTD,15205985,active,2023-10-12,IG6 2AJ,68209,ltd,2025-07-12
ELLESS PROMOTION LIMITED,09265591,active,2014-10-15,IG6 2AD,78200,ltd,2025-07-31
SIMP BUSINESS LIMITED,10836674,active,2017-06-27,IG6 1AF,82990,ltd,2025-06-30
AGMT ENTERPRISES LIMITED,11033079,active,2017-10-26,IG6 2FQ,"56103, 70229, 74909",ltd,2025-07-31
HI-JUICE LIMITED,03863526,active,1999-10-22,IG6 2AD,"70229, 71129, 82110, 82990",ltd,2025-07-31
AESTHETIC COMPANY LIMITED,03861282,active,1999-10-19,IG6 1FY,69202,ltd,2025-07-31
CITISPACE LTD,12275811,active,2019-10-22,IG6 2AJ,82990,ltd,2025-07-31
JLCB CONSULTING LIMITED,15184250,active,2023-10-03,IG6 2AD,70229,ltd,2025-06-30
OPARO SOCIAL LANGLEY LTD,13801819,active,2021-12-15,IG6 2AD,68209,ltd,2025-07-31
6 OAK ROAD (STOKE FERRY) LIMITED,09819302,active,2015-10-12,IG6 3JP,68209,ltd,2025-07-31
CC MARKETPLACE LTD,14269089,active,2022-08-02,IG6 3SZ,47910,ltd,2025-05-31
AUTOTWEAKS LTD,07803093,active,2011-10-10,IG6 3HZ,62090,ltd,2025-07-31
MAYFAIR BEAUTY LTD,14140065,active,2022-05-30,IG6 3XH,"47750, 47910",ltd,2025-05-13
BANSAL COMMERCIAL PROPERTIES LTD,10444716,active,2016-10-25,IG6 3HX,68209,ltd,2025-07-31
KENILWORTH CONSULTING LTD,07256308,active,2010-05-18,IG10 3AG,62020,ltd,2020-06-30
BELSIZE PARK DEVELOPMENTS LIMITED,06657968,active,2008-07-28,IG10 3TS,82990,ltd,2019-12-31
SK JULIEN ROAD LIMITED,11646904,active,2018-10-29,IG10 1DX,"68100, 68209, 68320",ltd,2025-07-31
XSURE LABS LTD,12006587,active,2019-05-20,IG10 1SH,"58290, 71121",ltd,2025-05-28
DLV 92 LTD,12851450,active,2020-09-01,IG10 2HE,"52243, 53100, 53201",ltd,2025-06-30
IBIN LTD,11336149,active,2018-04-30,IG10 3TQ,70229,ltd,2025-07-30
DAMAN HOLDINGS LTD,12250653,active,2019-10-08,IG10 1PZ,"41100, 55900, 64303, 64304",ltd,2025-07-31
KOBIGAN PROPERTIES LTD,12801045,active,2020-08-10,IG9 5AQ,"68100, 68209",ltd,2025-05-31
FINE DOORS LTD,05205705,active,2004-08-13,IG9 5BU,47789,ltd,2025-07-31
LITTLE BRIDGE LIMITED,05954441,active,2006-10-03,IG9 5BY,58290,ltd,2025-07-31
ELECTRICAL SAFETY SERVICES (GB) LIMITED,08114713,active,2012-06-21,IG9 5RD,81100,ltd,2021-06-30
GM 2007 LIMITED,06369489,active,2007-09-12,IG9 5QF,99999,ltd,2025-06-30
MYERS QUALITY HOMES LIMITED,12815247,active,2020-08-16,IG9 6BJ,"68100, 68209",ltd,2025-05-31
TIMES SQUARE LONDON LTD,12145576,active,2019-08-08,IG1 3SB,47770,ltd,2022-05-30
V S ACCOUNTANCY SERVICES LIMITED,04927571,active,2003-10-09,IG4 5BP,"69201, 69202",ltd,2025-07-31
MYOHO CONSULTING LTD,11035917,active,2017-10-27,IG1 3SX,62020,ltd,2025-07-31
ROOPRA CONSTRUCTION LIMITED,04573369,active,2002-10-25,IG4 5AR,41202,ltd,2025-07-27
GUY XANDER LIMITED,09797806,active,2015-09-28,IG1 3SW,46160,ltd,2025-06-30
BC REAL ESTATE MANAGEMENT LTD,10453244,active,2016-10-31,IG4 5ER,"68100, 68209, 68320",ltd,2025-07-31
