company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type,next_due
APPROVED CLAIMS GROUP LTD,12552579,active,2020-04-09,N1 7GU,82990,ltd,2025-01-31
CAVELL SOLICITORS LLP,OC305893,active,2003-10-28,E1 1EW,N/A,llp,2009-04-30
OC353080 LLP,OC353080,active,2010-03-10,N13 4QU,N/A,llp,2013-12-31
BLACK DIAMOND LONDON LIMITED,12344447,active,2019-12-02,N12 0TA,81299,ltd,2021-09-02
JUST BROWN SOLICITORS LLP,OC403303,active,2015-12-07,N17 0DH,N/A,llp,2017-09-07
LUMINARY VENTURES LTD,12790920,active,2020-08-04,N12 0AP,"64205, 64991",ltd,2023-05-31
12NORTH LTD,12800881,active,2020-08-10,E13 8JU,84120,ltd,2024-04-30
YOGI'S GIRL LIMITED,06979241,active,2009-08-04,W1W 8DH,62090,ltd,2023-09-30
MAPTON LIMITED,07038120,active,2009-10-12,W1U 8HU,99000,ltd,2012-07-31
SE15 PROPERTIES LIMITED,07374016,active,2010-09-13,N1 7GU,"68209, 68320",ltd,2016-12-31
RICHWIND SOFTWARE DEVELOPMENT LIMITED,07438022,active,2010-11-12,E15 4DJ,62020,ltd,2012-08-12
STRONE SUPPORTED LIVING LTD,07237392,active,2010-04-28,E12 6TN,87900,ltd,2022-12-31
BEX &CO LTD,07763002,active,2011-09-05,E1 0SF,84110,ltd,2014-07-03
FLIPPING GORGEOUS LTD.,07785387,active,2011-09-23,W12 0LW,82990,ltd,2015-06-30
BELLINI CORPORATION LIMITED,07800438,active,2011-10-06,W6 8QX,N/A,ltd,2013-07-06
SUPER TWEAKS LIMITED,07842735,active,2011-11-10,N2 0EF,"45310, 45400",ltd,2024-09-30
MOUSE & DE LOTZ LTD,07216970,active,2010-04-08,E8 2EB,56102,ltd,2021-03-31
AFFLUENZA LIMITED,07515754,active,2011-02-03,N5 2JP,74909,ltd,2016-05-31
EUROPE HIRE LTD,07538322,active,2011-02-22,W5 3HJ,96090,ltd,2018-11-30
07539116 LTD,07539116,active,2011-02-22,N16 5SA,71111,ltd,2014-11-30
06888749 LIMITED,06888749,active,2009-04-27,W1J 6BD,69109,ltd,2013-01-31
GLOBCON LIMITED,06912268,active,2009-05-21,W3 0LJ,"68100, 68209",ltd,2020-02-29
JAVELINA LTD,07957996,active,2012-02-21,SE22 8UL,82110,ltd,2024-10-31
THANKS FOR THE MEMORIES LTD,11325941,active,2018-04-24,E8 2LR,59111,ltd,2022-01-31
A TO Z TRADING LTD,11626340,active,2018-10-16,SE18 1BX,70229,ltd,2022-07-31
WHITE'S DAUGHTERS ESTATES AND LETTINGS LIMITED,11222705,active,2018-02-23,N11 1GN,68209,ltd,2019-11-23
ANGLO WELSH SECURITY LTD,11223542,active,2018-02-23,N1 7GU,80100,ltd,2021-02-28
CARL MARSHALL PUBLIC RELATIONS LIMITED,11926460,active,2019-04-04,W10 5BE,96090,ltd,2022-01-31
RY PROPERTY MANAGEMENT LIMITED,10565094,active,2017-01-16,N3 2LJ,68320,ltd,2021-10-31
FABULOUS PROPERTY MANAGEMENT LTD,10701504,active,2017-03-31,SE6 2JZ,"74100, 98000",ltd,2019-12-31
PLATINUM LIFTING SOLUTIONS LIMITED,10721907,active,2017-04-12,E15 4EJ,82990,ltd,2020-01-31
