company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type
UNDERGR00VES LTD,14327239,active,2022-08-31,NW3 2PN,"59200, 90010, 90020, 90040",ltd
KEBENA GREEN LTD,15157418,active,2023-09-22,NW1 1TU,56102,ltd
JAMJAR SOFTWARE LIMITED,14344744,active,2022-09-08,E3 3YH,62012,ltd
QUEENDOM ENTERTAINMENT LTD,11418249,active,2018-06-15,E14 7FZ,"90010, 90020, 90030",ltd
OLUBIYI THOMAS LIMITED,10275844,active,2016-07-13,E3 3DA,"14131, 14132, 14190",ltd
GREAT ACCOUNTING SERVICES LTD,13581543,active,2021-08-24,E14 6UE,69201,ltd
HAPPOPOTAMUS LTD,12916729,active,2020-09-30,SW8 1XP,74100,ltd
BTH SPORTS LIMITED,14290825,active,2022-08-11,SW18 4JE,"13950, 55100, 56101",ltd
BARRY'S VIP LIMITED,06695395,active,2008-09-11,SW18 2NT,81299,ltd
PATCH & PIECES DESIGN LTD,10816731,active,2017-06-13,W14 9PW,74100,ltd
FEELIUM LTD,14321050,active,2022-08-26,W8 4EB,90030,ltd
FOREVER GREEN BUILD LTD,14344205,active,2022-09-08,W8 6TG,41202,ltd
PERCEPTIVE FILMS LTD,10807244,active,2017-06-07,SW3 5QS,"59111, 59113",ltd
