company_name,company_number,status,date_of_creation,postcode,full_address,sic_codes,company_type,next_due
MINDLIGHT LIMITED,07553273,active,2011-03-07,N120DR,"1st Floor, 2 Woodberry Grove, North Finchley, London",62090,ltd,2024-12-31
HUMANA INTERNATIONAL LTD,08163563,active,2012-08-01,N120DR,"First Floor 2 Woodberry Grove, North Finchley, London",66190,ltd,2025-05-31
B.D.B.C. (UK) LIMITED,03684663,active,1998-12-16,N120DR,"Winnington House 2 Woodberry Grove, North Finchley, London, United Kingdom",41201,ltd,2013-12-31
BARNET HOTEL LTD,12198324,active,2019-09-10,N120BT,"Galla House 695 High Road, North Finchley, London, United Kingdom",55100,ltd,2025-06-30
CUMMINS CHU AND SINGER MANAGEMENT LIMITED,02076471,active,1986-11-21,N120HU,"33 Chislehurst Avenue, North Finchley, London",74990,ltd,2025-06-30
REPUTY LTD,11391914,active,2018-05-31,N120DR,"Winnington House 2 Woodberry Grove, North Finchley, London, United Kingdom","58290, 62012, 62020, 63120",ltd,2024-02-29
PARS MOTORS LIMITED,09626607,active,2015-06-06,N120NL,"634 - 636 North Finchley, High Street, London, United Kingdom",45200,ltd,2025-06-30
ASSETS MANAGEMENT GROUP LTD,11551123,active,2018-09-04,N120BT,"Galla House, 695 High Road, North Finchley, London, United Kingdom",68100,ltd,2025-06-30
SYSTAINABLE SOLUTIONS LIMITED,07474026,active,2010-12-20,N120BT,"Galla House, 695 High Road, North Finchley, London",62020,ltd,2024-12-30
VITALIS CONSULTANCY LIMITED,08407584,active,2013-02-18,N120DR,"First Floor 2 Woodberry Grove, North Finchley, London",63990,ltd,2020-10-01
KATE LEWIS LIMITED,07839340,active,2011-11-08,N120BT,"Galla House, 695 High Road, North Finchley, London",96090,ltd,2023-01-31
BLACK DIAMOND LONDON LIMITED,12344447,active,2019-12-02,N120TA,"Flat 2, Lavender Court, 1 Fallowfields Drive, London, England",81299,ltd,2021-09-02
LUMINARY VENTURES LTD,12790920,active,2020-08-04,N120AP,"421 High Road, London, England","64205, 64991",ltd,2023-05-31
