company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type
LEGACY SPORTS INTERNATIONAL LTD,11323395,active,2018-04-23,RM3 0NQ,79909,ltd
GROSVENOR INVESTIGATIONS LIMITED,11306923,active,2018-04-12,RM1 4BH,80300,ltd
JUMEIRAH PALM LOUNGE LIMITED,11863400,active,2019-03-06,RM1 2JH,56102,ltd
VICTORIA DECORATION LTD,11949669,active,2019-04-16,RM3 9RJ,43999,ltd
JBA PROPERTY LLP,OC412101,active,2016-06-02,RM2 6PS,N/A,llp
GREENCARE GARDEN SERVICES LTD,06560669,active,2008-04-09,RM4 1JU,41201,ltd
K T WINDOW SOLUTIONS LIMITED,12345170,active,2019-12-03,RM4 1PB,43342,ltd
WD FIRE SERVICES LTD,12258502,active,2019-10-12,RM4 1EX,33140,ltd
KHAS DESIGNS LIMITED,12438046,active,2020-02-03,RM6 4AS,47910,ltd
LEONAS LIMITED,12432831,active,2020-01-30,RM6 6DT,74902,ltd
RICHERCHOICE LIMITED,12332701,active,2019-11-25,RM1 2BX,"47220, 47240, 47750, 47910",ltd
BILLETS SOLUTIONS LIMITED,12374227,active,2019-12-20,RM5 3BZ,64205,ltd
CUBEDEVELOP LTD,12364228,active,2019-12-16,RM3 9FA,43290,ltd
TRIPLE BB LIMITED,12268243,active,2019-10-17,RM1 3JT,43210,ltd
CALIN TRANSPORT LTD,11990472,active,2019-05-10,RM6 6HH,49410,ltd
DEN OF TECH LIMITED,12002091,active,2019-05-17,RM6 4UT,"47410, 47421, 47429, 47540",ltd
CHADVILLE SAFETY CONSULTANCY LIMITED,11962226,active,2019-04-25,RM6 5UA,71129,ltd
KGN FAST FOOD LTD,12148919,active,2019-08-09,RM6 6LS,56103,ltd
SUNN CARE LIMITED,12196115,active,2019-09-09,RM6 4ED,87200,ltd
E&G BUSINESS SERVICES LTD,12199561,active,2019-09-10,RM6 6BU,"41100, 43210, 43220, 43320",ltd
DIVIDED NATIONS LTD,12030537,active,2019-06-03,RM6 5ER,49410,ltd
JUNIORMAX LTD,12028613,active,2019-06-03,RM1 2NQ,42120,ltd
PAKISTAN TRADING LIMITED,12126224,active,2019-07-29,RM3 7HB,47620,ltd
GOLD SCORPIO LTD,12121335,active,2019-07-24,RM1 2EH,49410,ltd
VANS & HANS LTD,12114808,active,2019-07-22,RM5 3BX,"49410, 56210, 73110",ltd
GOLDPEPPER LIMITED,12073926,active,2019-06-27,RM6 5SL,56102,ltd
D&A DELIVERY SERVICES LTD,12082161,active,2019-07-03,RM1 1DL,53202,ltd
BAGEL CRAFT LTD,12026955,active,2019-05-31,RM5 3ND,"56101, 56103, 56210, 56290",ltd
