company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type
RCONSTRUCTION4UK LTD,12479319,active,2020-02-24,RM9 5JT,41202,ltd
KAIM KHANI BROTHERS LTD,12339890,active,2019-11-29,RM9 5SL,56103,ltd
TRAINING SPOT LTD,12449668,active,2020-02-07,RM9 4ND,85590,ltd
DEIZY LTD,12273588,active,2019-10-21,RM9 5HU,53202,ltd
247 LOCAL PLUMBERS LTD,12224688,active,2019-09-24,RM9 5QB,43220,ltd
TODTIA LIMITED,12150775,active,2019-08-12,RM9 5EH,"86900, 96020",ltd
PM PROPERTY TRADING LTD,12134601,active,2019-08-01,RM9 4RX,68100,ltd
DIAMONDCREST LTD,09466034,active,2015-03-02,RM9 6BX,86900,ltd
S.E.L.G BUILDING LTD,09269369,active,2014-10-17,RM9 6UR,43999,ltd
ZIVA LTD,10134213,active,2016-04-19,RM9 4RA,69201,ltd
