company_name,company_number,status,date_of_creation,postcode,sic_codes,company_type,next_due
SIMM TRADING LTD,10266850,active,2016-07-07,RM10 9BB,47910,ltd,2025-04-30
BEADSTAR LIMITED,02158010,active,1987-08-26,RM10 8PN,"46420, 47910",ltd,2025-03-30
AGNI CONSULTANCY SERVICES UK LIMITED,12031563,active,2019-06-04,RM10 8PS,"46310, 70229",ltd,2025-03-31
ESSEX REFURBISHMENT LTD,11217318,active,2018-02-21,RM12 6LL,43390,ltd,2021-12-31
EMPIRE FIRE & CONSTRUCTION MATERIALS LIMITED,14797318,active,2023-04-12,RM15 5HP,46130,ltd,2025-01-12
DECOR DE FAB LTD,12748770,active,2020-07-16,RM19 1SB,56210,ltd,2025-04-30
GBK SAFETY LIMITED,11468558,active,2018-07-17,RM19 1LF,63990,ltd,2025-04-30
S&D LTD,14985074,active,2023-07-06,RM19 1QF,68100,ltd,2025-04-06
OLUDAM LIMITED,10563282,active,2017-01-13,RM20 3BH,45112,ltd,2024-10-31
TOP NOTCH SERVICES (UK) LTD,11041234,active,2017-11-01,RM20 3JT,"52290, 78200, 96010, 96090",ltd,2025-03-31
